"Participant"	"Affiliation_institution_Brazilian_state"	"Area_of_study"	"Institution"	"Movement_ecology_group_in_institution"	"Works_with_movement"	"When_started_to_work_with_movement"	"Type_of_research"	"Taxon"	"Biome_standardized"	"Level_study"	"Components_mov_ecology_framework"	"Techonology_used"	"Challenges"
1	"MG"	"Ecology"	"Museu Paraense Emílio Goeldi"	"No"	"Yes"	1/1/2009	"Applied"	"MAMMALS"	"Amazon"	"Ecosystem"	"Padrões de movimentação (Busca identificar padrões na movimentação?)"	"GPS Telemetry"	
2	"SP"	"Ecology/Zoology"	"Unesp RC"	"No"	"Yes"	20/9/2014	"Applied"	"BIRDS"	"Cerrado"	"Population"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?)"	"GPS Telemetry, Geolocator"	"Burocráticos, Financeiros, Análise de dados"
3	"SP"	"Ecology/Zoology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	1/8/2014	"Applied"	"MAMMALS"	"Cerrado"	"Individual"	"Padrões de movimentação (Busca identificar padrões na movimentação?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.), Consequências da movimentação para processos ecológicos e para o ambiente."	"GPS Telemetry"	"Financeiros, Tecnológicos, Análise de dados"
4	"SP"	"Ecology/Zoology/Botanics"	"UNESP/Rio Claro"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
5	"SP"	"Ecology/Zoology"	"UFSCar/Departamento de Ecologia e Biologia Evolutiva"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
6	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	1/8/2014	"Applied"	"MAMMALS"	"Pantanal"	"Population"	"Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.)"	"GPS Telemetry"	"Análise de dados, trabalhei com dados disponibilizados por outros"
7	"SP"	"Ecology/Zoology/Conservation Biology"	"UFSM"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
8	"SP"	"Ecology"	"USP RB"	"No"	"Yes"	10/1/2009	"Theoretical/Applied"	"MAMMALS"	"Cerrado"	"Individual"		"GPS Telemetry, VHF Telemetry"	"Burocráticos, Financeiros, Tecnológicos, Análise de dados"
9	"SP"	"Ecology/Zoology"	"--"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
10	"RJ"	"Ecology"	"UENF/Laboratório de Ciências Ambientais"	"No"	"Yes"	1/5/2015	"Applied"	"BIRDS"	"Atlantic Forest"	"Population"	"Capacidade de locomoção (Busca entender como ocorre a movimentação?) / Motion capacity (Do you wish to understand how movement operates?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry"	"Burocráticos, Financeiros"
11	"SP"	"Ecology"	"sem vínculo"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
12	"SP"	"Ecology"	"Unesp RC"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
13	"SP"	"Ecology"	"USP RP/Departamento de Biologia"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
14	"SP"	"Ecology/Zoology"	"USP/Departamento de Zoologia"	"No"	"Yes"	1/6/2014	"Applied"	"AMPHIBIANS"	"Atlantic Forest"	"Individual"	"Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"VHF Telemetry"	"Locais para coleta de dados"
15	"SP"	"Ecology/Physics"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	8/1/2008	"Theoretical/Applied"	"BIRDS/MAMMALS/SIMULATIONS"	"Atlantic Forest"	"Population/Community"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"Modeling"	"Análise de dados"
16	"SP"	"Ecology/Zoology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	8/8/2012	"Applied"	"BIRDS"	"Atlantic Forest"	"Individual"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"VHF Telemetry"	"Financeiros, Tecnológicos"
17	"SP"	"Phisiology"	"USP/Departamente de Fisiologia"	"No"	"Yes"	1/2/2015	"Applied"	"AMPHIBIANS"	"Multiple"	"Individual"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"Modeling"	"Tecnológicos, Análise de dados"
18	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
19	"SP"	"Environmental education/Socioenvironmental issues/Etnobiology/Teaching"	"UFMT/Departamento de Educação"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
20	"SP"	"Biology"	"Unesp RC/Departamento de Educação"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
21	"RS"	"Ecology"	"Neotropical Consultoria Ambiental"	"No"	"Yes"	10/6/1999	"Theoretical/Applied"	"FISH"	"Amazon"	"Individual"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Capacidade de locomoção (Busca entender como ocorre a movimentação?) / Motion capacity (Do you wish to understand how movement operates?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"VHF Telemetry, Acoustic-based telemetry"	"Burocráticos, Financeiros, Tecnológicos, Análise de dados, treinamento de pessoal"
22	"SP"	"Zoology"	"Unesp Registro"	"No"	"Yes"	1/1/2011	"Applied"	"FISH"	"Marine"	"Population"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"VHF Telemetry, Acoustic-based telemetry"	"Financeiros, Análise de dados"
23	"RN"	"Ecology"	"UFRN/Departamento de Psicobiologia"	"No"	"Yes"	1/3/2014	"Applied"	"MAMMALS"	"Marine"	"Population"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"Acoustic-based telemetry"	"Análise de dados"
24	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	1/7/2009	"Theoretical/Applied"	"BIRDS/MAMMALS"	"Cerrado"	"Population"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"VHF Telemetry"	"Burocráticos, Financeiros, Tecnológicos, Análise de dados"
25	"RJ"	"Ecology"	"UFRJ/Departamento de Ecologia"	"Yes"	"Yes"	3/3/2013	"Applied"	"MAMMALS"	"Atlantic Forest"	"Population"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Capacidade de locomoção (Busca entender como ocorre a movimentação?) / Motion capacity (Do you wish to understand how movement operates?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"VHF Telemetry"	"Burocráticos, Financeiros, Tecnológicos"
26	"RJ"	"Ecology"	"UENF/Departamento de Biociências e Biotecnologia"	"No"	"Yes"	1/1/2013		"MAMMALS"	"Atlantic Forest"	"Community"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?)"	"Genetics"	"Análise de dados"
27	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
28	"SP"	"Ecology/Zoology/Botanics/Plant Ecology"	"Unesp RC"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
29	"SP"	"Ecology/Zoology"	"USP/Departamento de Ecologia"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
30	"SP"	"Ecology"	"USP RB/Departamento de Biologia"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"ARGENTINA"	"Ecology"	"INIBIOMA-CRUB, CONICET"	"No"	"Yes"	15/1/1996	"Theoretical/Applied"	"BIRDS/MAMMALS/INVERTEBRATES/PLANTS"	"Multiple"	"Individual/Population/Landscape"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"GPS Telemetry, VHF Telemetry, Accelerometer"	"Financeiros"
32	"SP"	"Ecology"	"USP/Departamento de Ecologia"	"No"	"Yes"	1/6/2012	"Theoretical"	"SIMULATIONS"	"NA"	"Individual"	"Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"Modeling"	"Tecnológicos, Análise de dados"
33	"BA"	"Ecology"	"Biologia"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
34	"SP"	"Ecology"	"Unesp RC/Departamento de Zoologia"	"Yes"	"Yes"	3/10/1996	"Theoretical/Applied"	"BIRDS"	"Cerrado"	"Individual"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?)"	"GPS Telemetry, Geolocator"	"Burocráticos, Financeiros, Análise de dados"
35	"RJ"	"Ecology"	"UFRJ/Departamento de Ecologia"	"Yes"	"Yes"	1/3/2007	"Applied"	"MAMMALS/AMPHIBIANS"	"Atlantic Forest"	"Individual"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Capacidade de locomoção (Busca entender como ocorre a movimentação?) / Motion capacity (Do you wish to understand how movement operates?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"VHF Telemetry, Spool and Line"	"Tecnológicos, Infraestrutura para o trabalho de campo (falta dela)"
36	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	10/1/2009	"Theoretical/Applied"	"BIRDS/MAMMALS/PLANTS"	"Multiple"	"Community"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry"	"Análise de dados"
37	"MS"	"Ecology"	"USP/Departamento de Ecologia"	"No"	"Yes"	4/2/2015	"Applied"	"REPTILES"	"Cerrado"	"Individual"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"VHF Telemetry"	"Burocráticos, Financeiros, Tecnológicos"
38	"SP"	"Ecology/Zoology"	"Unesp RC/Departamento de Zoologia"	"Yes"	"Yes"	2/3/2015	"Applied"	"MAMMALS"	"Atlantic Forest"	"Population"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry"	"Burocráticos, Financeiros, Análise de dados"
39	"AM"	"Ecology"	"INPA/Ecologia"	"No"	"Yes"	7/7/2007	"Applied"	"BIRDS"	"Amazon"	"Individual"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry, VHF Telemetry, Modeling"	"Financeiros, Tecnológicos, Análise de dados"
40	"SP"	"Ecology"	"Unesp Botucatu"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
41	"MS"	"Ecology"	"UFMS/Ecologia"	"Yes"	"Yes"	1/1/2005	"Theoretical"	"BIRDS/MAMMALS/AMPHIBIANS/REPTILES"	"Cerrado"	"Individual"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry, VHF Telemetry"	"Burocráticos, Financeiros"
42	"SP"	"Ecology/Biology"	"USP/São Carlos"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
43	"SP"	"Zoology"	"USP ESALQ/EA-Ecologia Aplicada"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
44	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
45	"SP"	"Ecology"	"Unesp/Núcleo de Pesquisa e Conservação de Cervídeos"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
46	"SP"	"Ecology/Zoology"	"USP/Departamento de Zoologia"	"No"	"Yes"	1/5/2007	"Applied"	"BIRDS"	"Atlantic Forest"	"Community"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?)"	"Mark Recapture"	"Todos"
